loss,poison loss,clean loss,acc,poison acc,clean acc,xloss,uloss,lambda_u
0.5259744213090016,,,,,,0.5080085789450095,0.0025714220904338,6.986803556743421
0.5288299518297208,,,,,,0.5104544810869811,0.0026005210027384,7.0657509251644735
0.5216953970175382,,,,,,0.5037604087619911,0.0025104104232109,7.144698293585527
0.5233276293838571,,,,,,0.5051691991966436,0.0025140029278922,7.22364566200658
0.5217977715765301,,,,,,0.5038553830740966,0.002457139216851,7.302593030427632
0.5295197612035736,,,,,,0.5106192024290976,0.0025601747351995,7.381540398848684
0.5239413557042099,,,,,,0.5055091359131438,0.002470678773051,7.460487767269737
0.5198629745973449,,,,,,0.5013739841879215,0.0024523984476358,7.539435135690789
0.5239470360997984,,,,,,0.505273611314351,0.0024511617958333,7.618382504111842
0.5202952475292477,,,,,,0.5017445694084017,0.0024102454289547,7.697329872532894
0.5161708758091663,,,,,,0.4977343145533268,0.0023709706672079,7.776277240953948
0.5242501254269882,,,,,,0.50576620397851,0.0023530725789533,7.855224609375
0.5161428339361009,,,,,,0.4980150193441659,0.002284893395676,7.934171977796052
0.512303689975397,,,,,,0.4941096183129048,0.0022704528130059,8.013119346217106
0.5177357485813445,,,,,,0.4991508098764825,0.0022968348577805,8.092066714638158
0.5275961860029383,,,,,,0.5082910400687979,0.0023627065314779,8.17101408305921
0.5106081675817222,,,,,,0.4924031407149414,0.0022066080936935,8.249961451480265
0.5259766394160579,,,,,,0.5066889375789287,0.0023158804166185,8.328908819901315
0.5087953792735789,,,,,,0.4906014441744446,0.0021639705243361,8.407856188322368
0.5144848913128044,,,,,,0.4959225661559685,0.0021872547267469,8.486803556743421
0.5082168477651976,,,,,,0.4898778739557201,0.0021410462911242,8.56575092516447
0.5152664720339999,,,,,,0.4965942753178751,0.0021599154502138,8.644698293585526
0.5164598284832209,,,,,,0.4976054023372853,0.0021613234019597,8.723645662006579
0.5035023481741518,,,,,,0.4857780449319762,0.0020135024839522,8.802593030427632
0.5084395534545365,,,,,,0.4897803277403909,0.0021011273326447,8.881540398848685
0.5143585291939416,,,,,,0.4954028868514797,0.0021153841271748,8.960487767269736
0.5163252444663158,,,,,,0.4974767533967679,0.0020850959116198,9.03943513569079
0.51354083775459,,,,,,0.4945189626569117,0.0020863245419462,9.118382504111842
0.5026730653612503,,,,,,0.4843333318744953,0.0019941582859586,9.197329872532894
0.5125248771778388,,,,,,0.4936847279846006,0.0020309477568958,9.276277240953949
0.5122942311168117,,,,,,0.4932015190188394,0.0020409093160131,9.355224609374998
0.5127937359175121,,,,,,0.4936517065152657,0.0020290378680156,9.434171977796051
0.5156192529771033,,,,,,0.4965257640187701,0.0020071713112292,9.513119346217104
0.5166956932632729,,,,,,0.497348678938124,0.0020173161597214,9.592066714638158
0.5085024211766722,,,,,,0.4897178734795488,0.0019423891610008,9.67101408305921
0.5125409707566178,,,,,,0.4926949146765764,0.0020353518609892,9.749961451480264
0.5104002803345793,,,,,,0.4905028129514903,0.0020245964890852,9.828908819901317
0.5059491947426977,,,,,,0.4868880118860943,0.0019238534489207,9.907856188322368
0.5032951471962406,,,,,,0.4840987772099652,0.0019222088533219,9.98680355674342
0.514983394607043,,,,,,0.4955269658526049,0.0019329556750302,10.065750925164474
0.5141379270603466,,,,,,0.4947150554742165,0.0019147688357303,10.144698293585526
0.5078988054688125,,,,,,0.4888585063431492,0.0018625600440549,10.22364566200658
0.5027204650659769,,,,,,0.4837968570905104,0.001836788780447,10.302593030427632
0.4936522106404482,,,,,,0.4750771864087255,0.0017892226124345,10.381540398848683
0.5082163803442654,,,,,,0.4889892709259129,0.0018381535513249,10.460487767269738
0.5105515372870286,,,,,,0.4910517412508852,0.0018502517538347,10.53943513569079
0.5022035178069473,,,,,,0.4829777761649438,0.0018106384091309,10.618382504111842
0.4964661811127371,,,,,,0.4775771299664484,0.0017658181321469,10.697329872532894
0.5083298471370199,,,,,,0.4890619747720848,0.0017879730421598,10.776277240953949
0.5054068889749033,,,,,,0.4859327379404021,0.0017940381352283,10.855224609375
0.5119882799244806,,,,,,0.4922488149882156,0.0018052587798913,10.934171977796051
0.494250388263481,,,,,,0.4755378437243962,0.0016989906712286,11.013119346217106
0.5105401418318252,,,,,,0.490864812127711,0.0017739686270801,11.09206671463816
0.4911227812349352,,,,,,0.4725355623177165,0.0016638233307912,11.17101408305921
0.5005424634960036,,,,,,0.4815412037155511,0.0016889336115538,11.249961451480264
0.501640011660129,,,,,,0.482593388515852,0.0016811763846957,11.328908819901317
0.501060273539224,,,,,,0.4816496350540546,0.0017015121862661,11.40785618832237
0.4941190127010486,,,,,,0.4754722269799458,0.0016233908803429,11.48680355674342
0.4999895545824984,,,,,,0.4804887060745386,0.0016860766428175,11.565750925164473
0.4910905671686123,,,,,,0.4717914342145377,0.0016573216875397,11.644698293585527
0.4992414797029596,,,,,,0.4801134017307049,0.0016316268461293,11.723645662006575
0.4938768910219551,,,,,,0.474672487747739,0.001627192477168,11.802593030427632
0.4944491788110099,,,,,,0.4751417117254277,0.0016250764914783,11.881540398848683
0.491418147984632,,,,,,0.4723783222439124,0.0015919878925256,11.960487767269738
0.5051981306373818,,,,,,0.4852900416435659,0.0016534887350148,12.03943513569079
0.4960423800803255,,,,,,0.4766781104731308,0.00159798672359,12.118382504111844
0.4988980028074365,,,,,,0.4792749523548991,0.0016088313601823,12.197329872532896
0.5057208824200643,,,,,,0.4859317480518257,0.0016119255204221,12.276277240953943
0.5046795651619504,,,,,,0.4847799099397889,0.0016106481216813,12.355224609375
0.4953258292484861,,,,,,0.4759514586303339,0.0015581240153617,12.434171977796051
0.4923036725926977,,,,,,0.4732469709410907,0.0015229064274182,12.513119346217106
0.4952939845225046,,,,,,0.475880605011298,0.0015416459511129,12.59206671463816
0.4850077596411211,,,,,,0.4661366441910104,0.0014893789707738,12.67101408305921
